5,12,1.5,0.7,1,7,0,0,0,9,8,9
6,16,10.0,0.8,2,13,0,0,0,8,7,12
7,12,1.5,0.7,1,12,2,0,0,7,6,6
8,28,1.5,0.6,2,12,0,2,68,2,2,8
9,16,9.9,0.8,2,12,0,1,116,7,8,10
10,12,3.6,1.1,2,11,0,0,0,12,12,14
11,32,1.2,0.9,2,14,2,0,0,4,4,7
12,17,3.6,1.1,2,13,2,0,0,9,7,10
0,32,1.5,0.7,1,11,0,1,34,8,43,7
1,13,2.2,0.4,1,6,2,0,0,7,7,6
2,12,1.3,0.7,1,11,0,0,0,6,6,8
3,12,1.4,0.7,1,14,0,1,28,7,7,8
4,20,1.4,0.7,1,17,2,0,0,13,12,6
5,12,1.5,0.7,1,9,0,0,0,9,8,8
6,16,9.3,0.8,2,17,8,0,0,7,7,10
7,12,1.5,0.7,1,12,0,0,0,7,6,6
8,28,1.6,0.6,2,13,0,2,66,2,2,8
9,16,9.4,0.8,2,15,0,0,0,7,7,11
10,12,3.6,1.1,2,10,0,0,0,12,12,14
11,32,1.2,0.9,2,15,0,0,0,4,4,8
12,17,3.6,1.1,2,12,4,0,0,9,5,10
13,55,1.8,0.5,1,17,2,0,0,44,168,5
14,1,34.7,7.2,15,65,36,0,0,77,173,80
15,2,8.4,2.0,7,31,4,0,0,15,31,24
16,2,83.1,7.8,41,39,6,0,0,31,25,141
0,32,1.5,0.7,1,13,0,0,0,3,66,7
1,13,2.3,0.4,1,6,2,0,0,7,7,6
2,12,1.3,0.8,1,13,4,1,34,6,6,8
3,12,1.4,0.7,1,11,0,1,27,7,7,7
4,20,1.4,0.7,1,14,12,0,0,13,13,7
5,12,1.5,0.7,1,9,0,1,25,9,8,9
6,16,10.0,0.8,2,13,2,1,77,7,8,10
7,12,1.5,0.7,1,11,2,0,0,6,6,6
8,28,1.6,0.6,2,13,0,1,28,2,2,8
9,17,9.0,0.8,2,16,2,1,27,7,9,12
10,12,3.4,1.2,2,10,2,0,0,12,11,14
11,31,1.2,0.9,2,23,2,0,0,4,4,7
12,17,3.6,1.1,2,14,2,0,0,9,8,10
0,38,1.4,0.7,1,24,4,0,0,2,13,8
1,22,2.1,0.5,1,13,2,0,0,11,9,6
2,22,1.5,0.7,1,30,8,0,0,11,9,8
3,26,1.5,0.7,2,33,4,0,0,15,12,7
4,27,1.4,0.7,1,26,18,0,0,22,17,5
5,5,6.9,2.4,4,27,2,1,56,14,8,30
6,35,1.7,0.6,3,49,6,0,0,17,12,4
7,21,1.6,0.6,1,22,2,0,0,10,7,6
8,36,1.4,0.7,2,38,4,2,68,8,6,6
9,35,1.7,0.6,3,34,0,0,0,18,12,5
10,22,2.7,0.4,2,29,6,0,0,23,16,4
11,37,1.2,0.8,2,41,4,0,0,8,8,7
12,32,1.8,0.5,2,15,6,0,0,11,10,6
0,34,1.4,0.7,1,9,0,0,0,24,71,8
1,14,2.2,0.5,1,7,2,0,0,7,7,6
2,13,1.3,0.8,1,12,2,0,0,6,4,8
3,15,3.3,1.3,2,33,2,1,28,7,8,13
4,21,1.4,0.7,1,12,4,0,0,13,9,7
5,13,1.4,0.7,1,10,2,1,25,9,7,8
6,18,8.9,0.9,2,9,0,1,74,7,7,10
7,13,1.4,0.7,1,11,2,0,0,6,6,6
8,29,1.5,0.7,2,6,0,2,66,2,2,7
9,18,9.1,0.9,2,12,0,0,0,7,6,10
10,55,1.8,0.5,2,36,6,0,0,15,63,4
11,33,1.2,0.9,2,24,8,0,0,4,4,7
12,18,3.4,1.2,2,13,0,0,0,9,7,10
0,33,1.4,0.7,1,11,2,0,0,2,52,8
1,14,2.2,0.5,1,9,0,0,0,7,7,6
2,13,1.3,0.8,1,15,0,0,0,6,6,8
3,13,1.4,0.7,1,9,0,1,30,7,9,8
4,1,370.5,22.1,55,38,54,0,0,143,389,226
5,13,1.4,0.7,1,9,2,1,27,8,9,8
6,18,8.8,0.9,2,11,0,1,70,7,8,10
7,12,1.5,0.7,1,12,0,0,0,7,6,6
8,29,1.5,0.7,2,14,0,1,28,2,3,8
9,16,9.4,0.8,2,15,0,0,0,7,7,11
10,12,3.6,1.1,2,10,0,0,0,12,12,14
11,33,1.2,0.9,2,17,0,0,0,4,4,7
12,18,3.5,1.2,2,13,2,0,0,7,6,10
13,55,1.8,0.5,1,17,2,0,0,44,168,5
14,1,34.7,7.2,15,65,36,0,0,77,173,80
15,25,1.7,0.6,1,18,2,0,0,16,31,8
16,15,11.5,2.8,6,53,10,0,0,40,35,27
0,32,1.5,0.7,1,13,0,0,0,3,66,7
1,13,2.3,0.4,1,6,2,0,0,7,7,6
2,13,1.3,0.8,1,11,0,1,32,7,8,8
3,13,1.3,0.7,1,10,0,1,27,13,22,7
4,20,1.4,0.7,1,19,8,0,0,16,16,7
5,13,1.4,0.7,1,10,2,1,25,8,9,8
6,16,10.0,0.8,2,13,2,1,77,7,8,10
7,12,1.5,0.7,1,11,2,0,0,6,6,6
8,29,1.5,0.7,2,9,0,2,66,20,38,8
